"assembly_accession","物种名称"
"GCA_000006665.1","Escherichia coli"
"GCA_000006685.1","Chlamydia muridarum"
"GCA_000007125.1","Brucella melitensis"
"GCA_000007205.1","Chlamydia pneumoniae"
"GCA_000007445.1","Escherichia coli"
"GCA_000007505.1","Brucella suis"
"GCA_000007605.1","Chlamydia caviae"
"GCA_000007625.1","Clostridium tetani"
"GCA_000007765.2","Coxiella burnetii"
"GCA_000007845.1","Bacillus anthracis"
"GCA_000007905.1","Helicobacter hepaticus"
"GCA_000007945.1","Haemophilus ducreyi"
"GCA_000008145.1","Brucella abortus"
"GCA_000008445.1","Bacillus anthracis"
"GCA_000008745.1","Chlamydia pneumoniae"
"GCA_000008865.2","Escherichia coli"
"GCA_000008985.1","Francisella tularensis"
"GCA_000009085.1","Campylobacter jejuni"
"GCA_000009205.2","Clostridioides difficile"
"GCA_000009325.1","Francisella tularensis"
"GCA_000009685.1","Clostridium perfringens"
"GCA_000009885.1","Klebsiella pneumoniae"
"GCA_000010745.1","Escherichia coli"
"GCA_000010765.1","Escherichia coli"
"GCA_000011165.1","Chlamydia pneumoniae"
"GCA_000011405.1","Francisella tularensis"
"GCA_000011545.1","Burkholderia pseudomallei"
"GCA_000011705.1","Burkholderia mallei"
"GCA_000012125.1","Chlamydia trachomatis"
"GCA_000012185.1","Haemophilus influenzae"
"GCA_000012785.1","Burkholderia pseudomallei"
"GCA_000013125.1","Anaplasma phagocytophilum"
"GCA_000013245.1","Helicobacter pylori"
"GCA_000013265.1","Escherichia coli"
"GCA_000013285.1","Clostridium perfringens"
"GCA_000013305.1","Escherichia coli"
"GCA_000013845.2","Clostridium perfringens"
"GCA_000015445.1","Bartonella bacilliformis"
"GCA_000015465.1","Burkholderia mallei"
"GCA_000015525.1","Campylobacter jejuni"
"GCA_000015605.1","Burkholderia mallei"
"GCA_000015625.1","Burkholderia mallei"
"GCA_000015905.1","Burkholderia pseudomallei"
"GCA_000015925.1","Burkholderia pseudomallei"
"GCA_000016105.1","Francisella tularensis"
"GCA_000016305.1","Klebsiella pneumoniae"
"GCA_000017025.1","Clostridium botulinum"
"GCA_000017045.1","Clostridium botulinum"
"GCA_000017065.1","Clostridium botulinum"
"GCA_000017105.1","Coxiella burnetii"
"GCA_000017745.1","Escherichia coli"
"GCA_000017785.1","Francisella tularensis"
"GCA_000017905.1","Campylobacter jejuni"
"GCA_000018525.1","Brucella canis"
"GCA_000018725.1","Brucella abortus"
"GCA_000019305.1","Clostridium botulinum"
"GCA_000019545.1","Clostridium botulinum"
"GCA_000019865.1","Coxiella burnetii"
"GCA_000019885.1","Coxiella burnetii"
"GCA_000020245.1","Helicobacter pylori"
"GCA_000021125.1","Escherichia coli"
"GCA_000021245.2","Acinetobacter baumannii"
"GCA_000022225.1","Escherichia coli"
"GCA_000022625.1","Brucella melitensis"
"GCA_000023305.1","Francisella tularensis"
"GCA_000025165.1","Escherichia coli"
"GCA_000026025.1","Chlamydia abortus"
"GCA_000026245.1","Escherichia coli"
"GCA_000026285.2","Escherichia coli"
"GCA_000026325.2","Escherichia coli"
"GCA_000026345.1","Escherichia coli"
"GCA_000026545.1","Escherichia coli"
"GCA_000027125.1","Escherichia coli"
"GCA_000046685.1","Bartonella quintana"
"GCA_000048645.1","Legionella pneumophila"
"GCA_000048665.1","Legionella pneumophila"
"GCA_000063585.1","Clostridium botulinum"
"GCA_000068525.2","Chlamydia trachomatis"
"GCA_000068585.1","Chlamydia trachomatis"
"GCA_000069245.1","Acinetobacter baumannii"
"GCA_000091005.1","Escherichia coli"
"GCA_000148365.1","Escherichia coli"
"GCA_000148605.1","Escherichia coli"
"GCA_000165525.1","Haemophilus influenzae"
"GCA_000167875.2","Escherichia coli"
"GCA_000168775.2","Francisella tularensis"
"GCA_000174395.2","Enterococcus faecium"
"GCA_000183345.1","Escherichia coli"
"GCA_000187205.4","Acinetobacter baumannii"
"GCA_000188215.1","Acinetobacter baumannii"
"GCA_000195715.1","Bordetella pertussis"
"GCA_000195815.1","Corynebacterium diphtheriae"
"GCA_000197875.1","Haemophilus influenzae"
"GCA_000214765.3","Escherichia coli"
"GCA_000226275.2","Acinetobacter baumannii"
"GCA_000227625.1","Escherichia coli"
"GCA_000240185.2","Klebsiella pneumoniae"
"GCA_000245515.1","Escherichia coli"
"GCA_000248435.2","Francisella tularensis"
"GCA_000262125.1","Escherichia coli"
"GCA_000281195.1","Enterococcus faecalis"
"GCA_000284495.1","Escherichia coli"
"GCA_000285655.3","Escherichia coli"
"GCA_000294365.1","Klebsiella pneumoniae"
"GCA_000299255.1","Escherichia coli"
"GCA_000299455.1","Escherichia coli"
"GCA_000299475.1","Escherichia coli"
"GCA_000302575.1","Acinetobacter baumannii"
"GCA_000336405.1","Enterococcus faecium"
"GCA_000419405.1","Acinetobacter baumannii"
