"菌种","基因组编号","文献链接","文献名称","发表时间","PMID"
"Lactiplantibacillus plantarum WHE 92","GCA_000604145.1","https://pubmed.ncbi.nlm.nih.gov/36571922/;https://pubmed.ncbi.nlm.nih.gov/40749709/;https://pubmed.ncbi.nlm.nih.gov/40269965/;https://pubmed.ncbi.nlm.nih.gov/38841895/;https://pubmed.ncbi.nlm.nih.gov/40114208/;https://pubmed.ncbi.nlm.nih.gov/19309013/;https://pubmed.ncbi.nlm.nih.gov/21447177/","A novel approach to Lactiplantibacillus plantarum: From probiotic properties to the omics insights.; Harnessing Lactiplantibacillus plantarum EP21 and its membrane vesicles to inhibit myopia development.; Lactiplantibacillus plantarum -derived extracellular vesicles alleviate acute lung injury by inhibiting ferroptosis of macrophages.; Enhancing social behavior in an autism spectrum disorder mouse model: investigating the underlying mechanisms of Lactiplantibacillus plantarum intervention.; Reducing severity of inflammatory bowel disease through colonization of Lactiplantibacillus plantarum and its extracellular vesicles release.; 2-DE and MS analysis of key proteins in the adhesion of Lactobacillus plantarum, a first step toward early selection of probiotics based on bacterial biomarkers.; Comparative proteomic analysis of Lactobacillus plantarum for the identification of key proteins in bile tolerance.","2023;2025;2025;2024;2025;2009;2011","36571922;40749709;40269965;38841895;40114208;19309013;21447177"
"Lactiplantibacillus plantarum","GCA_002028365.1","https://pubmed.ncbi.nlm.nih.gov/30302554/","Adhesion-Related Immunomodulatory Activity of the Screened Lactobacillus plantarum from Sichuan Pickle.","2019","30302554"
"Ligilactobacillus salivarius","GCA_013401865.1","https://pubmed.ncbi.nlm.nih.gov/33114778/","Selection of Immunobiotic Ligilactobacillus salivarius Strains from the Intestinal Tract of Wakame-Fed Pigs: Functional and Genomic Studies.","2020","33114778"
"Ligilactobacillus salivarius","GCA_013401905.1","https://pubmed.ncbi.nlm.nih.gov/33114778/","Selection of Immunobiotic Ligilactobacillus salivarius Strains from the Intestinal Tract of Wakame-Fed Pigs: Functional and Genomic Studies.","2020","33114778"
"Ligilactobacillus salivarius","GCA_013401915.1","https://pubmed.ncbi.nlm.nih.gov/33114778/;https://pubmed.ncbi.nlm.nih.gov/33363529/","Selection of Immunobiotic Ligilactobacillus salivarius Strains from the Intestinal Tract of Wakame-Fed Pigs: Functional and Genomic Studies.; Functional and Genomic Characterization of Ligilactobacillus salivarius TUCO-L2 Isolated From Lama glama Milk: A Promising Immunobiotic Strain to Combat Infections.","2020;2020","33114778;33363529"
"Enterococcus faecium","GCA_015397425.1","https://pubmed.ncbi.nlm.nih.gov/31741537/","Isolation of Enterococcus faecium, characterization of its antimicrobial metabolites and viability in probiotic Minas Frescal cheese.","2019","31741537"
"Enterococcus faecium","GCA_015402545.1","https://pubmed.ncbi.nlm.nih.gov/33343539/","Isolation of Novel Probiotic Lactobacillus and Enterococcus Strains From Human Salivary and Fecal Sources.","2020","33343539"
"Enterococcus faecium","GCA_018311855.1","https://pubmed.ncbi.nlm.nih.gov/41763213/;https://pubmed.ncbi.nlm.nih.gov/40934987/;https://pubmed.ncbi.nlm.nih.gov/11449853/;https://pubmed.ncbi.nlm.nih.gov/30309968/;https://pubmed.ncbi.nlm.nih.gov/40748505/;https://pubmed.ncbi.nlm.nih.gov/32509542/","Gut microbiota immaturity with DL-endopeptidase deficiency links antibiotic use to preterm late-onset sepsis.; Novel Enterococcus faecium P2 as a probiotic for mitigating Clostridioides difficile infection.; Probiotics: ""living drugs"".; Enlisting commensal microbes to resist antibiotic-resistant pathogens.; Probiotic potential and antimicrobial efficacy of a dairy isolate, Enterococcus faecium MBBL3.; Using Potential Lactic Acid Bacteria Biofilms and their Compounds to Control Biofilms of Foodborne Pathogens.","2026;2025;2001;2019;2025;2020","41763213;40934987;11449853;30309968;40748505;32509542"
"Enterococcus faecium","GCA_018311895.1","https://pubmed.ncbi.nlm.nih.gov/41763213/;https://pubmed.ncbi.nlm.nih.gov/40934987/;https://pubmed.ncbi.nlm.nih.gov/11449853/;https://pubmed.ncbi.nlm.nih.gov/30309968/;https://pubmed.ncbi.nlm.nih.gov/40748505/;https://pubmed.ncbi.nlm.nih.gov/36496711/","Gut microbiota immaturity with DL-endopeptidase deficiency links antibiotic use to preterm late-onset sepsis.; Novel Enterococcus faecium P2 as a probiotic for mitigating Clostridioides difficile infection.; Probiotics: ""living drugs"".; Enlisting commensal microbes to resist antibiotic-resistant pathogens.; Probiotic potential and antimicrobial efficacy of a dairy isolate, Enterococcus faecium MBBL3.; Investigating the Probiotic Properties and Antimicrobial Activity of Lactic Acid Bacteria Isolated from an Iranian Fermented Dairy Product, Kashk.","2026;2025;2001;2019;2025;2022","41763213;40934987;11449853;30309968;40748505;36496711"
"Lactiplantibacillus plantarum","GCA_021893925.1","https://pubmed.ncbi.nlm.nih.gov/21700007/","Diversity of lactic acid bacteria associated with traditional fermented dairy products in Mongolia.","2011","21700007"
"Escherichia coli","GCA_023053845.1","https://pubmed.ncbi.nlm.nih.gov/35232591/;https://pubmed.ncbi.nlm.nih.gov/32752183/;https://pubmed.ncbi.nlm.nih.gov/41813901/;https://pubmed.ncbi.nlm.nih.gov/41017573/;https://pubmed.ncbi.nlm.nih.gov/39122688/;https://pubmed.ncbi.nlm.nih.gov/12170308/;https://pubmed.ncbi.nlm.nih.gov/18279557/;https://pubmed.ncbi.nlm.nih.gov/35022453/","Emerging strategies for engineering Escherichia coli Nissle 1917-based therapeutics.; Cranberry Polyphenols and Prevention against Urinary Tract Infections: Relevant Considerations.; Natural maternal immunity protects neonates from Escherichia coli sepsis.; An Inflammation-Targeting Engineered Probiotic Escherichia coli Nissle 1917 with High Anti-TNF-α Nanobody Secretion Efficacy Alleviates Ulcerative Colitis.; Engineered probiotic Escherichia coli elicits immediate and long-term protection against influenza A virus in mice.; Effects of asparaginase and polyphenol oxidase on adhesive characteristics of microorganisms.; In vitro and in vivo effects of the probiotic Escherichia coli strain M-17: immunomodulation and attenuation of murine colitis.; Strain specific motility patterns and surface adhesion of virulent and probiotic Escherichia coli.","2022;2020;2026;2025;2024;2002;2008;2022","35232591;32752183;41813901;41017573;39122688;12170308;18279557;35022453"
"Limosilactobacillus vaginalis","GCA_029866865.1","https://pubmed.ncbi.nlm.nih.gov/37892507/;https://pubmed.ncbi.nlm.nih.gov/33919838/","Limosilactobacillus vaginalis Exerts Bifidogenic Effects: A Novel Postbiotic Strategy for Infant Prebiotic Supplementation.; Probiotic and Metabolic Characterization of Vaginal Lactobacilli for a Potential Use in Functional Foods.","2023;2021","37892507;33919838"
"Escherichia coli str. K-12 substr. MG1655","GCF_000005845.2","https://pubmed.ncbi.nlm.nih.gov/35232591/;https://pubmed.ncbi.nlm.nih.gov/32752183/;https://pubmed.ncbi.nlm.nih.gov/41813901/;https://pubmed.ncbi.nlm.nih.gov/41017573/;https://pubmed.ncbi.nlm.nih.gov/39122688/;https://pubmed.ncbi.nlm.nih.gov/16351713/;https://pubmed.ncbi.nlm.nih.gov/21379575/","Emerging strategies for engineering Escherichia coli Nissle 1917-based therapeutics.; Cranberry Polyphenols and Prevention against Urinary Tract Infections: Relevant Considerations.; Natural maternal immunity protects neonates from Escherichia coli sepsis.; An Inflammation-Targeting Engineered Probiotic Escherichia coli Nissle 1917 with High Anti-TNF-α Nanobody Secretion Efficacy Alleviates Ulcerative Colitis.; Engineered probiotic Escherichia coli elicits immediate and long-term protection against influenza A virus in mice.; The host response to the probiotic Escherichia coli strain Nissle 1917: specific up-regulation of the proinflammatory chemokine MCP-1.; E. coli Nissle 1917 Affects Salmonella adhesion to porcine intestinal epithelial cells.","2022;2020;2026;2025;2024;2005;2011","35232591;32752183;41813901;41017573;39122688;16351713;21379575"
